"","stno","east","north","t","y"
"1",1,191884.329451246,153823.008127596,1,204.438602651875
"301",1,191884.329451246,153823.008127596,2,233.37542107863
"601",1,191884.329451246,153823.008127596,3,195.966296900504
"901",1,191884.329451246,153823.008127596,4,143.993114047635
"1201",1,191884.329451246,153823.008127596,5,51.4366410579667
"1501",1,191884.329451246,153823.008127596,6,69.6858675598359
"1801",1,191884.329451246,153823.008127596,7,98.5151336079112
"2101",1,191884.329451246,153823.008127596,8,115.73096321001
"2401",1,191884.329451246,153823.008127596,9,66.6358724942899
"2701",1,191884.329451246,153823.008127596,10,22.8274680929147
"3001",1,191884.329451246,153823.008127596,11,12.6485304212366
"3301",1,191884.329451246,153823.008127596,12,114.778233749247
"3601",1,191884.329451246,153823.008127596,13,98.6923143253838
"3901",1,191884.329451246,153823.008127596,14,132.437199194359
"4201",1,191884.329451246,153823.008127596,15,65.8293410326307
"4501",1,191884.329451246,153823.008127596,16,96.5726517343204
"4801",1,191884.329451246,153823.008127596,17,144.505927012141
"5101",1,191884.329451246,153823.008127596,18,177.851842972253
"5401",1,191884.329451246,153823.008127596,19,154.324642002061
"5701",1,191884.329451246,153823.008127596,20,150.993050690962
"6001",1,191884.329451246,153823.008127596,21,57.2550776265398
"6301",1,191884.329451246,153823.008127596,22,56.5721797684417
"6601",1,191884.329451246,153823.008127596,23,68.5199152102931
"6901",1,191884.329451246,153823.008127596,24,74.0414114546066
"7201",1,191884.329451246,153823.008127596,25,37.363543817954
"7501",1,191884.329451246,153823.008127596,26,84.1144378339536
"7801",1,191884.329451246,153823.008127596,27,60.1598966299286
"8101",1,191884.329451246,153823.008127596,28,135.263729979752
"8401",1,191884.329451246,153823.008127596,29,72.8818031291496
"8701",1,191884.329451246,153823.008127596,30,129.890924826832
"9001",1,191884.329451246,153823.008127596,31,71.3871541570102
"9301",1,191884.329451246,153823.008127596,32,63.4761054206633
"9601",1,191884.329451246,153823.008127596,33,123.849258038982
"9901",1,191884.329451246,153823.008127596,34,86.998974705561
"10201",1,191884.329451246,153823.008127596,35,91.3534625578771
"10501",1,191884.329451246,153823.008127596,36,128.345746809199
"10801",1,191884.329451246,153823.008127596,37,81.3443153917562
"11101",1,191884.329451246,153823.008127596,38,102.261798258057
"11401",1,191884.329451246,153823.008127596,39,76.3396719699397
"11701",1,191884.329451246,153823.008127596,40,92.450846253171
"12001",1,191884.329451246,153823.008127596,41,83.8218350701704
"12301",1,191884.329451246,153823.008127596,42,84.7363948164215
"12601",1,191884.329451246,153823.008127596,43,88.0733211787803
"12901",1,191884.329451246,153823.008127596,44,65.8788827801029
"13201",1,191884.329451246,153823.008127596,45,92.2932496672065
"13501",1,191884.329451246,153823.008127596,46,139.563788268565
"13801",1,191884.329451246,153823.008127596,47,74.5359632028777
"14101",1,191884.329451246,153823.008127596,48,137.80287634184
"14401",1,191884.329451246,153823.008127596,49,99.381203037803
"14701",1,191884.329451246,153823.008127596,50,38.525350140063
"15001",1,191884.329451246,153823.008127596,51,34.9011409339849
"15301",1,191884.329451246,153823.008127596,52,50.2449670923087
"15601",1,191884.329451246,153823.008127596,53,44.2260760171169
"15901",1,191884.329451246,153823.008127596,54,55.2032319715772
"16201",1,191884.329451246,153823.008127596,55,69.846533327413
"16501",1,191884.329451246,153823.008127596,56,47.6913203407069
"16801",1,191884.329451246,153823.008127596,57,61.4856082903117
"17101",1,191884.329451246,153823.008127596,58,79.0511459641053
"17401",1,191884.329451246,153823.008127596,59,86.5947359607115
"17701",1,191884.329451246,153823.008127596,60,61.6599311931002
"18001",1,191884.329451246,153823.008127596,61,54.2128478114847
"18301",1,191884.329451246,153823.008127596,62,45.953189662762
"18601",1,191884.329451246,153823.008127596,63,63.3850517500863
"18901",1,191884.329451246,153823.008127596,64,59.5772405312801
"19201",1,191884.329451246,153823.008127596,65,89.8616252081205
"19501",1,191884.329451246,153823.008127596,66,65.931003424298
"19801",1,191884.329451246,153823.008127596,67,46.099572369009
"20101",1,191884.329451246,153823.008127596,68,110.543165391675
"20401",1,191884.329451246,153823.008127596,69,91.3478310883729
"20701",1,191884.329451246,153823.008127596,70,54.4415252188026
"21001",1,191884.329451246,153823.008127596,71,74.4482765601136
"21301",1,191884.329451246,153823.008127596,72,73.7539327235077
"21601",1,191884.329451246,153823.008127596,73,63.6761912011278
"21901",1,191884.329451246,153823.008127596,74,52.2497289607759
"22201",1,191884.329451246,153823.008127596,75,26.3775213263908
"22501",1,191884.329451246,153823.008127596,76,1.85209629346458
"22801",1,191884.329451246,153823.008127596,77,23.795820661842
"23101",1,191884.329451246,153823.008127596,78,88.8066713364751
"23401",1,191884.329451246,153823.008127596,79,101.528568843908
"23701",1,191884.329451246,153823.008127596,80,112.149655025435
"24001",1,191884.329451246,153823.008127596,81,59.1674268619402
"24301",1,191884.329451246,153823.008127596,82,102.908225292877
"24601",1,191884.329451246,153823.008127596,83,48.5265985374965
"24901",1,191884.329451246,153823.008127596,84,94.6684180563023
"25201",1,191884.329451246,153823.008127596,85,138.398742711802
"25501",1,191884.329451246,153823.008127596,86,164.798950121287
"25801",1,191884.329451246,153823.008127596,87,126.925543762105
"26101",1,191884.329451246,153823.008127596,88,130.945109932312
"26401",1,191884.329451246,153823.008127596,89,95.2447575750823
"26701",1,191884.329451246,153823.008127596,90,102.734923918584
"27001",1,191884.329451246,153823.008127596,91,96.8656769786939
"27301",1,191884.329451246,153823.008127596,92,196.807585066182
"27601",1,191884.329451246,153823.008127596,93,195.438905204888
"27901",1,191884.329451246,153823.008127596,94,289.577994734777
"28201",1,191884.329451246,153823.008127596,95,385.495764091862
"28501",1,191884.329451246,153823.008127596,96,227.653637183135
"28801",1,191884.329451246,153823.008127596,97,301.015087643762
"29101",1,191884.329451246,153823.008127596,98,258.501187093876
"29401",1,191884.329451246,153823.008127596,99,263.117749545042
"29701",1,191884.329451246,153823.008127596,100,144.267852862119
"30001",1,191884.329451246,153823.008127596,101,143.303256120426
"30301",1,191884.329451246,153823.008127596,102,95.119784020826
"30601",1,191884.329451246,153823.008127596,103,78.7673498631648
"30901",1,191884.329451246,153823.008127596,104,95.0740628068303
"31201",1,191884.329451246,153823.008127596,105,49.4569571872709
"31501",1,191884.329451246,153823.008127596,106,56.1428446639892
"31801",1,191884.329451246,153823.008127596,107,34.1605778352544
"32101",1,191884.329451246,153823.008127596,108,30.2975937894948
"32401",1,191884.329451246,153823.008127596,109,17.3735139919127
"32701",1,191884.329451246,153823.008127596,110,33.767427025289
"33001",1,191884.329451246,153823.008127596,111,13.7408668592001
"33301",1,191884.329451246,153823.008127596,112,45.9603849812309
"33601",1,191884.329451246,153823.008127596,113,45.0013673342435
"33901",1,191884.329451246,153823.008127596,114,35.1863126143444
"34201",1,191884.329451246,153823.008127596,115,64.8672380796579
"34501",1,191884.329451246,153823.008127596,116,30.7802433640702
"34801",1,191884.329451246,153823.008127596,117,88.8698494186846
"35101",1,191884.329451246,153823.008127596,118,107.517621914823
"35401",1,191884.329451246,153823.008127596,119,119.284004643642
"35701",1,191884.329451246,153823.008127596,120,113.251764064368
"2",2,351907.094302727,365928.827241271,1,125.044783433246
"302",2,351907.094302727,365928.827241271,2,137.205014605236
"602",2,351907.094302727,365928.827241271,3,125.746206277425
"902",2,351907.094302727,365928.827241271,4,72.9654055968762
"1202",2,351907.094302727,365928.827241271,5,29.1861600965908
"1502",2,351907.094302727,365928.827241271,6,37.9158135513662
"1802",2,351907.094302727,365928.827241271,7,83.5724967556192
"2102",2,351907.094302727,365928.827241271,8,92.9795567447625
"2402",2,351907.094302727,365928.827241271,9,31.3157864188883
"2702",2,351907.094302727,365928.827241271,10,31.4958273069266
"3002",2,351907.094302727,365928.827241271,11,15.2637060738076
"3302",2,351907.094302727,365928.827241271,12,79.5902045883612
"3602",2,351907.094302727,365928.827241271,13,54.0276908970762
"3902",2,351907.094302727,365928.827241271,14,116.841102647943
"4202",2,351907.094302727,365928.827241271,15,42.4841370628015
"4502",2,351907.094302727,365928.827241271,16,56.8965379296243
"4802",2,351907.094302727,365928.827241271,17,113.351289353825
"5102",2,351907.094302727,365928.827241271,18,158.505116608742
"5402",2,351907.094302727,365928.827241271,19,140.272476030454
"5702",2,351907.094302727,365928.827241271,20,96.6492653427099
"6002",2,351907.094302727,365928.827241271,21,117.541381964326
"6302",2,351907.094302727,365928.827241271,22,73.5667320325993
"6602",2,351907.094302727,365928.827241271,23,50.480300023734
"6902",2,351907.094302727,365928.827241271,24,33.5166236134101
"7202",2,351907.094302727,365928.827241271,25,18.6542706102632
"7502",2,351907.094302727,365928.827241271,26,31.4121253706449
"7802",2,351907.094302727,365928.827241271,27,31.6480358391155
"8102",2,351907.094302727,365928.827241271,28,66.139874849103
"8402",2,351907.094302727,365928.827241271,29,36.2868025002374
"8702",2,351907.094302727,365928.827241271,30,64.8407454852893
"9002",2,351907.094302727,365928.827241271,31,54.3055658651115
